comments,introduce,name,star
(19828人评价),2023-03-15(西南偏南电影节) / 2023-03-31(美国网络) / 塔伦·埃哲顿 / 迈尔斯·巴罗 / 尹成植 / 尼基塔·叶甫列莫夫 / 托比·琼斯 / 奥列格·斯特凡 / 罗杰·阿拉姆 / 安东尼·鲍伊 / 古畑新之 / 伊川东吾 / 長渕文音 / 伊戈尔·格拉布佐夫 / 山村宪之介...,俄罗斯方块,8.1
(25889人评价),2023-02-18(柏林国际电影节) / 2023-03-31(韩国网络) / 全度妍 / 李絮 / 薛景求 / 黄政民 / 具教焕 / 金诗雅 / 法希姆·法兹利 / 金成伍 / Willis Chung / 尹敬浩 / 安德烈亚斯·弗龙克 / 李妍 / 崔秉默 / 韩国 / 边圣铉 / 137分钟 / 杀死福顺 / 动作 /...,杀死福顺,6.7
(5492人评价),2023-04-08(泰国网络) / 茱蒂蒙·琼查容苏因 / 诺帕奇·贾亚纳玛 / 冈·斯瓦蒂 / 卜密巴特·塔沃斯理 / 泰国 / 西蒂斯里·蒙哥西里 / 130分钟 / 饥渴游戏 / 剧情 / 惊悚 / 空德·扎度蓝拉密 Kongdej Jaturanrasamee / 泰语,饥渴游戏,5.6
(10418人评价),2022-12-03(日本) / 2023-04-20(中国大陆) / 仲村宗悟 / 笠间淳 / 木村昴 / 神尾晋一郎 / 三宅健太 / 岩崎谅太 / 坂本真绫 / 小林亲弘 / 松田健一郎 / 濑户麻沙美 / 宝龟克寿 / 菅沼芙实彦 / 镰谷悠 / 日本 / 井上雄彦 / 124分钟 / 灌篮高手 / 动画...,灌篮高手,9.2
(36551人评价),2023-03-15(澳大利亚) / 2023-03-17(美国/中国大陆) / 扎克瑞·莱维 / 亚瑟·安其 / 杰克·迪伦·格雷泽 / 海伦·米伦 / 刘玉玲 / 瑞秋·齐格勒 / 杰曼·翰苏 / 盖尔·加朵 / 亚当·布罗迪 / 格雷斯·卡罗琳·柯里 / 梅根·古德 / 罗斯·巴特勒 / D·J·科特罗纳...,雷霆沙赞！众神之怒,5.6
(15191人评价),2023-03-13(西南偏南电影节) / 2023-03-24(美国) / 基努·里维斯 / 甄子丹 / 比尔·斯卡斯加德 / 劳伦斯·菲什伯恩 / 真田广之 / 沙米尔·安德森 / 兰斯·莱迪克 / 泽山璃奈 / 克兰西·布朗 / 斯科特·阿金斯 / 伊恩·麦柯肖恩 / 马克·扎罗 / 娜塔丽·特纳...,疾速追杀4,8.0
(9518人评价),2022-05-25(戛纳电影节) / 2023-02-08(韩国) / 金时恩 / 裴斗娜 / 崔喜珍 / 宋永世 / 金宇谦 / 韩国 / 郑朱莉 / 134分钟 / 下一个素熙 / 剧情 / 郑朱莉 July Jung / 韩语,下一个素熙,8.2
(590844人评价),2023-01-22(中国大陆) / 梁朝伟 / 王一博 / 周迅 / 黄磊 / 森博之 / 大鹏 / 王传君 / 江疏影 / 张婧仪 / 周生昊 / 董易 / 古川岳史  / 彭广 / 赵左 / 高曙光 / 美浓轮泰史 / 金子浩拓  / 三浦研一 / 吴映 / 李欣 / 徐婧荧 / 佐佐木智大 / 木村顺傑...,无名,6.7
(75237人评价),2023-01-20(美国) / 蒂姆·格里芬 / 艾娃·扎里亚·李 / 尼娅·朗 / 斯托姆·瑞德 / 梁振邦 / 艾米·兰德克 / 梅根·苏丽 / 丽莎·山田 / 沙拉尔·阿里·斯佩克斯 / 贾米尔·希夫吉 / 迈克尔·塞戈维亚 / 丹尼尔·海尼 / 乔昆姆·德·阿尔梅达 / 劳伦湾·莫斯利...,网络谜踪2,8.0
(44012人评价),2022-09-04(威尼斯电影节) / 2022-12-09(美国) / 布兰登·费舍 / 萨迪·辛克 / 周洪 / 泰·辛普金斯 / 萨曼莎·莫顿 / 实谛·史达仁 / 杰西·辛克 / 美国 / 达伦·阿伦诺夫斯基 / 117分钟 / 鲸 / 剧情 / 同性 / 塞缪尔·D·亨特 / 英语,鲸,8.0
